Time;Elec_Central;PV;Wind;Heating;Cooling
"2025-01-01 00;00";load;Generation;Generation;load;load
s;MW;MW;MW;MW;MW
true;true;true;true;true;true
28076400;0.08082486759940331;0.0;0.025879000000000003;0.83574;0.0
28080000;0.06948046864375623;0.0;0.027669;0.827817;0.0
28083600;0.0658923344269256;0.0;0.032820999999999996;0.842758;0.0
28087200;0.06395853022840658;0.0;0.033777999999999996;0.84956;0.0
28090800;0.06082121395394626;0.0;0.037472;0.845942;0.0
28094400;0.09665976029522524;0.0;0.040706000000000006;0.835395;0.0
28098000;0.18371785744059516;0.0;0.045451;0.829471;0.0
28101600;0.23979997014376486;0.0;0.043479;0.840022;0.0
28105200;0.20762559521156648;0.0;0.041484;0.868467;0.0
28108800;0.20405171930573165;6.9000000000000006e-09;0.041351;0.883629;0.0
28112400;0.19587803556885547;1.8586999999999999e-06;0.041749;0.880217;0.0
28116000;0.21816856491967135;7.0457999999999995e-06;0.03676;0.856456;0.0
28119600;0.22846195229518051;1.0655899999999999e-05;0.035958;0.819718;0.0
28123200;0.22739824860633795;1.16842e-05;0.04308;0.7845850000000001;0.0
28126800;0.20926086889993567;1.12812e-05;0.044491;0.7501570000000001;0.0
28130400;0.20813662263821875;9.206499999999999e-06;0.039982;0.714554;0.0
28134000;0.21550864246902854;4.4738e-06;0.037674;0.688393;0.0
28137600;0.194931037515858;5.139000000000001e-07;0.043588999999999996;0.682879;0.0
28141200;0.21150471541839594;0.0;0.054378;0.71235;0.0
28144800;0.22266306193064916;0.0;0.053509;0.7692140000000001;0.0
28148400;0.2312103043043266;0.0;0.052005;0.7770990000000001;0.0
28152000;0.2101082942700948;0.0;0.050039;0.7340979999999999;0.0
28155600;0.16797611701178158;0.0;0.048195999999999996;0.7036140000000001;0.0
28159200;0.11011614171292397;0.0;0.044999000000000004;0.711818;0.0
28162800;0.08068224891717134;0.0;0.048661;0.7221559999999999;0.0
28166400;0.0662328400354455;0.0;0.051423;0.717957;0.0
28170000;0.06677322766447256;0.0;0.044895000000000004;0.733861;0.0
28173600;0.06444981538614843;0.0;0.036755;0.742965;0.0
28177200;0.06332272202046414;0.0;0.03638;0.7431369999999999;0.0
28180800;0.0961576207110531;0.0;0.036258000000000006;0.737289;0.0
28184400;0.18550018765681495;0.0;0.039267;0.735533;0.0
28188000;0.24346973410979936;0.0;0.039317;0.748435;0.0
28191600;0.21642755088051607;0.0;0.044893999999999996;0.777428;0.0
28195200;0.19805736328312218;0.0;0.044369;0.7946420000000001;0.0
28198800;0.1927804888809137;5.843e-07;0.042466000000000004;0.795071;0.0
28202400;0.20868413779359637;3.8841e-06;0.041782;0.77683;0.0
28206000;0.2144966457191304;9.3172e-06;0.039807;0.7463630000000001;0.0
28209600;0.21478103594160847;9.818600000000001e-06;0.037836;0.7168329999999999;0.0
28213200;0.20546259077860235;6.1279e-06;0.036609;0.687412;0.0
28216800;0.2115219219848198;3.6993000000000003e-06;0.031848;0.656381;0.0
28220400;0.2131010417775492;2.0934e-06;0.035965000000000004;0.633561;0.0
28224000;0.19799603761441742;4.596e-07;0.048198;0.62938;0.0
28227600;0.21088748740152985;0.0;0.057734;0.6571710000000001;0.0
28231200;0.21145434696702625;0.0;0.056995;0.710003;0.0
28234800;0.22741682621362055;0.0;0.052590000000000005;0.71737;0.0
28238400;0.20462604733616177;0.0;0.044488999999999994;0.677507;0.0
28242000;0.17166996071155305;0.0;0.035217;0.648993;0.0
28245600;0.11192433015414732;0.0;0.031388;0.6559769999999999;0.0
28249200;0.08575529962454566;0.0;0.025072;0.664732;0.0
28252800;0.0673926161119604;0.0;0.01986;0.659945;0.0
28256400;0.06395073519354567;0.0;0.016281;0.673487;0.0
28260000;0.06604925687336938;0.0;0.014841;0.68064;0.0
28263600;0.06511847288953565;0.0;0.012801;0.679509;0.0
28267200;0.09413101429992789;0.0;0.010740999999999999;0.672824;0.0
28270800;0.18768293835484404;0.0;0.0089;0.669851;0.0
28274400;0.23681158225418145;0.0;0.007673;0.680198;0.0
28278000;0.21834592415087847;0.0;0.006692999999999999;0.705108;0.0
28281600;0.202081234303493;0.0;0.006371000000000001;0.719293;0.0
28285200;0.19342278358017118;5.075999999999999e-07;0.0058;0.718328;0.0
28288800;0.2061193527167629;1.6329999999999999e-06;0.004955;0.700626;0.0
28292400;0.21203966616785808;4.0436e-06;0.004572;0.672095;0.0
28296000;0.22308944852809692;9.3709e-06;0.0043479999999999994;0.6446369999999999;0.0
28299600;0.22007349601338835;9.728900000000001e-06;0.003742;0.6175109999999999;0.0
28303200;0.2043403732509323;6.9233e-06;0.003661;0.589172;0.0
28306800;0.22089409389692483;1.6625e-06;0.004485;0.5684009999999999;0.0
28310400;0.19231270811274012;1.311e-07;0.007235999999999999;0.5645119999999999;0.0
28314000;0.20644197580880014;0.0;0.009734999999999999;0.5894360000000001;0.0
28317600;0.2188132314065281;0.0;0.009510999999999999;0.636955;0.0
28321200;0.2317922360669657;0.0;0.011442;0.643823;0.0
28324800;0.20507891789249882;0.0;0.013533;0.6083930000000001;0.0
28328400;0.16415862678568585;0.0;0.013873;0.5832050000000001;0.0
28332000;0.11276655442625003;0.0;0.011212999999999999;0.589973;0.0
28335600;0.08130285840376326;0.0;0.008315;0.598405;0.0
28339200;0.06981025305993405;0.0;0.006058;0.5946910000000001;0.0
28342800;0.06713847013756573;0.0;0.0045650000000000005;0.60753;0.0
28346400;0.06433988237551096;0.0;0.0044859999999999995;0.614638;0.0
28350000;0.060544821799391434;0.0;0.006373;0.614267;0.0
28353600;0.09794367855001003;0.0;0.008738;0.608847;0.0
28357200;0.1881601757270197;0.0;0.010723;0.606742;0.0
28360800;0.24382964121831263;0.0;0.011918;0.616655;0.0
28364400;0.20950997144565292;0.0;0.012381999999999999;0.6397229999999999;0.0
28368000;0.19367312339335782;0.0;0.012523;0.652993;0.0
28371600;0.19539963865545493;4.0140000000000003e-07;0.011957;0.6524030000000001;0.0
28375200;0.21053653985101675;1.6978e-06;0.011507;0.6364740000000001;0.0
28378800;0.2339851964846593;4.922e-06;0.011411;0.6105539999999999;0.0
28382400;0.22589835878286982;7.6487e-06;0.011484;0.585453;0.0
28386000;0.21389780980841694;7.8791e-06;0.012171;0.5605;0.0
28389600;0.2103741458175352;5.3804e-06;0.012962;0.534302;0.0
28393200;0.21381721345014235;2.5925e-06;0.014632;0.514848;0.0
28396800;0.19912785488377252;2.3420000000000002e-07;0.023467;0.510565;0.0
28400400;0.20938062369637594;0.0;0.032168;0.532169;0.0
28404000;0.21997492208302608;0.0;0.035976;0.573915;0.0
28407600;0.2272448503196183;0.0;0.035954;0.578804;0.0
28411200;0.2045594111409848;0.0;0.034094;0.545613;0.0
28414800;0.16092301648668017;0.0;0.032164;0.5216459999999999;0.0
28418400;0.11067314966984512;0.0;0.02888;0.526221;0.0
28422000;0.08121290357728246;0.0;0.026009;0.532169;0.0
28425600;0.06944100274775998;0.0;0.026121;0.527245;0.0
28429200;0.06522813219024375;0.0;0.025783999999999998;0.536923;0.0
28432800;0.06266222713074857;0.0;0.025963999999999997;0.5414450000000001;0.0
28436400;0.061271777175308066;0.0;0.029915;0.539338;0.0
28440000;0.09803969716071839;0.0;0.029368;0.532808;0.0
28443600;0.18736609480173252;0.0;0.02944;0.5292039999999999;0.0
28447200;0.24078780601805627;0.0;0.034788;0.536079;0.0
28450800;0.2098226280233389;0.0;0.036311;0.554329;0.0
