Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
4442400;0.34658075906117497;0.21896669968862384;0.545560465100106;0.09170630491334313;0.480200021498716;0.019833559055188146;0.12401824188452687;0.1545759576766463;0.17410303899863064;0.027089207350280906;2.2597555371558;8.151008167981042;12.625108536835503;2.1555450478769558;5.2627e-05;0.00014882948818741764;0.050832;0.45085899999999995;0.0
4446000;0.3428538812288635;0.2214514278112566;0.5031898657594751;0.12137752845376779;0.5247421194018772;0.01907838105418658;0.11513463086501038;0.15037587133422473;0.18465715440721422;0.027327009016242444;2.145064539342355;7.185029206461872;12.410913454595393;2.182860860315876;0.000125968;0.00035623829912388364;0.060398;0.432044;0.0
4449600;0.31983742488273675;0.24570093801478307;0.4379892203633215;0.14443732890384287;0.61929516193165;0.023661984068885453;0.13383325380621408;0.13116420852799693;0.20353545402450546;0.02884185789007272;2.5113588169526553;7.492422236826232;12.869449363373212;2.259454974523936;0.000150259;0.00042493340045134977;0.056989;0.414175;0.0
4453200;0.3388613543631084;0.23023456624578154;0.4568032436177065;0.17553113481803195;0.504120973577164;0.021435089024943142;0.14054468742938883;0.15155093668126418;0.19563171501063956;0.026019334156876545;2.5417363642788935;7.591690204353259;12.605968108784989;2.214713700768028;0.00015092500000000002;0.00042681685265521515;0.050633000000000004;0.396762;0.0
4456800;0.33620003435268714;0.2484503470867451;0.4356658878217541;0.117005260849259;0.4101759648269555;0.022975491201565005;0.15087342795051262;0.13657789587318592;0.17799394905605648;0.029043966519122645;2.5120569119681893;7.197951339720282;11.805450243435246;2.035918259018721;0.000136811;0.0003869023715660934;0.04129;0.37879199999999996;0.0
4460400;0.3332380078802623;0.21973977843562376;0.4823230342685089;0.13116256574263802;0.3968335508364994;0.04201837571989592;0.12246611734500648;0.15361828151727427;0.18390474634899362;0.030048701624058722;2.326289028034335;7.62107301062523;11.142682114086199;2.065304458094703;0.000108481;0.0003067849527440145;0.032896;0.365875;0.0
4464000;0.25230175159350865;0.21682795666201427;0.40669558824620805;0.12583107770738108;0.5085567729556798;0.04535607035197568;0.12110432174789651;0.1206717391931691;0.17576758715761148;0.027724293687505265;2.555917132410631;7.407405100445654;11.173940711325486;1.9731128656154444;6.5324e-05;0.00018473668433227942;0.027975999999999997;0.363999;0.0
4467600;0.2953466270123557;0.21755702181695086;0.40827774605777295;0.16913714761466345;0.547435575225149;0.06196957743046899;0.12787944802894446;0.12592845518979867;0.17722425059085406;0.02851089082376833;2.3963074421238746;7.205578957909447;12.968182548443629;2.1307558489669582;1.5221e-05;4.304508407662766e-05;0.027164;0.380913;0.0
4471200;0.2597195078566124;0.20819082106135425;0.3453240395101351;0.23298029741462908;0.6138534909885455;0.08319820466921227;0.1405488601264376;0.11470905306895497;0.2017972572813845;0.02684792393072753;2.2781325752392045;7.401198319974279;11.841846990963155;2.2003215319772655;0.0;0.0;0.037642;0.412722;0.0
4474800;0.2108284956365884;0.24692651390424022;0.300495736546318;0.4391405265011685;0.5987230923263224;0.10519133289828013;0.14233524890764404;0.08776558171696626;0.19370679734227386;0.028678458153175834;2.4002257935074285;7.567279389317082;13.133550494754006;2.3251133257798013;0.0;0.0;0.045203;0.41845800000000005;0.0
